School Name,Instagram ID,Abbreviation,Max follow per school
American Heritage Schools,"ahpbathletics, ahs_info_stuco, ahpbboyssoccer, heritagewsoc, ahsicehockey","ahs, American, Heritage",1000
The Dalton School,"daltontigersgvb, daltoncommunityservice, daltondiyaclub, daltonxctf, daltongvt, daltonschoolnyc","dalton, ds, tds",400
The Quarry Lane School,"qls.tbt, minds_unwind, qls_classof27, qls.pop, qls.cognicore, qlskeyclub, qlroar","qls, Quarry Lane, Quarry",420
Ethical Culture Fieldston School,"csabfieldston, fieldstonvarsitytheater, thefieldstonnews, ecfs1878","ecfs, fieldston",500
Blair Academy,"blair_varsity_baseball, blairaquatics, blairacademyskiteam, blairtfxc, blair_academy","blair, BA",141
The Village School,"viking_seniors26, vhsboys_soccer, vhs.ndsa, ladyvikings_vb_, tennis.vhs, villagevikings","vhs, vilage, viking",500
Ransom Everglades School,"re_softball, re_boys_volleyball, re_student_philanthropy, ransomevergladesscuba, re_poetry_, ransomevergladesathletics","RE, Ransom Everglades, Ranson, Everglades, RES",340
Milton Academy,"maboyssoccer, mabvsquash, majvbsoccer, ma_skiteam, maclass2026, miltonacademysailing, magirlssoccerr, miltonacademy","MA, milton",200
The Awty International School,"awtyvarsitytennis, reesegk09, awtygirlslacrosse, awtyjvfh, ayahpapayito, awtyintlschool","ais, awty, ",500
Georgetown Day School,"gdswsoccer, gdsvbaseball, gdsmens.tennis, gds_menslax, gds_wrestling, gdswvbball, gdshoppers","Georgetown Day School, gds",300