School Name,Instagram ID (5-6),Abbreviation (keyword that bot will detect in people's bio),Max follow per school (school population / 3)
American Heritage Schools,"ahpbathletics, ahs_info_stuco, ahpbboyssoccer, heritagewsoc, ahsicehockey","ahs, American, Heritage",1000
The Dalton School,"daltontigersgvb, daltoncommunityservice, daltondiyaclub, daltonxctf, daltongvt, daltonschoolnyc","dalton, ds, tds",400
The Quarry Lane School,"qls.tbt, minds_unwind, qls_classof27, qls.pop, qls.cognicore, qlskeyclub, qlroar","qls, Quarry Lane, Quarry",420
Ethical Culture Fieldston School,"csabfieldston, fieldstonvarsitytheater, thefieldstonnews, ecfs1878","ecfs, fieldston",500
Blair Academy,"blair_varsity_baseball, blairaquatics, blairacademyskiteam, blairtfxc, blair_academy","blair, BA",141
The Village School,"viking_seniors26, vhsboys_soccer, vhs.ndsa, ladyvikings_vb_, tennis.vhs, villagevikings","vhs, vilage, viking",500
Ransom Everglades School,"re_softball, re_boys_volleyball, re_student_philanthropy, ransomevergladesscuba, re_poetry_, ransomevergladesathletics","RE, Ransom Everglades, Ransom, Everglades, RES",340
Milton Academy,"maboyssoccer, mabvsquash, majvbsoccer, ma_skiteam, maclass2026, miltonacademysailing, magirlssoccerr, miltonacademy","MA, milton",200
The Awty International School,"awtyvarsitytennis, reesegk09, awtygirlslacrosse, awtyjvfh, ayahpapayito, awtyintlschool","ais, awty, ",500
Georgetown Day School,"gdswsoccer, gdsvbaseball, gdsmens.tennis, gds_menslax, gds_wrestling, gdswvbball, gdshoppers","Georgetown, gds",300
Maspeth HS,"mhsboysvarssoccer, maspethhsboysvarstrack, maspeth_hs_rugby, maspethhsathletics, maspethhs.badminton, maspethhoops","mhs, maspeth",341
St. Joseph by the Sea HS,"stjosephbythesea, seavikingsbball, seavolleyball, stjseafootball, st.joseph_girlsflagfootball, seavikingsbaseball","st joseph by the sea, sea, sjs",325
Staten Island Technical HS,"sitechso, sitechstudentlife, sithsmercury, msitsoccer, _sammytheseagull, sithskeyclub","siths, sith, sit",468
Susan E. Wagner HS,"wagnerjrotc, sewfalconsjournalism, susanwagnerband, wagnerdance, sewfalcons, wagnerhscheerleading","sewhs, whs, susan wagner, wagner",1000
Archbishop Molloy HS,"molloyhs_varsitybaseball, molloyhs_varsitysoftball_, molloyhs_admissions, molloyhs, molloyhs_athletics","molloyhs, molloy, amhs",502
Benjamin N. Cardozo HS,"benjamincardozohs, cardozocheer_stunt, cardozomocktrial, dozo.fbla, cardozo.wrestling, dozojudgettes","dozo, bnchs, cardozo",991
Forest Hills HS,"fhhsscioly, fhhskeyclub, foresthillstrackandfield, fhhs.athletics, fhhssoccerofficial, fhhsstudentgov","fhhs, forest",1142
Francis Lewis HS,"foresthillshs_nyc, flhsmathoffice, francis.lewis.hoops, flhs_robotics, flhspatriots, lewisculinary","flhs, lewis",1469
Richmond Hill HS,"athletics_rhhs, rhhsfootball, richmondhillhs, rhhschorus, rhhs.baseball, rhhs_cheerleaders","rhhs, richmond hill hs, richmond",566
St. Francis Preparatory School,"stfrancisprep, stfrancisprepathletics, stfrancisprepmusic, sfpfootball, sfpdanceteam, stfrancisprepmensbasketball","sfp, st. francis prep",807
Townsend Harris HS,"townsend_harris_hs, thhssu, harrislam_, thhsperiod, thhskc","thhs, townsend",444
Vanguard HS,"vanguardhsnyc, vanguardhspta, jrecpanthersvball, jrecbvb, jrecpantherscheer, jrecpanthersathletics","vhs, vanguard",135
Stuyvesant HS,"stuyvesanthighschool, stuyvesanths_nyc, stuysu, stuyfootball, stuyspectator, stuyjuniorcaucus","stuy, stuyvesant",1086
Brooklyn Technical HS,"brooklyntech_hs, thetechkey, bthssgo, bktechwrestling, bthsnhs, brooklyntechlibrary","bths, brooklyn tech",1936
Edward R. Murrow HS,"edwardrmurrowhs, murrowboys_basketball, murrowart, murrowtheater, themurrownetwork, murrow.music.official_","ermhs, murrow",1198
Fort Hamilton HS,"forthamiltonbk, fhhstigerbaseball, fthhsalumni, fhhscheerbk, fhhsflagteam, fort2enior5, fthhspta","FHHS, fhhs, fthhs, FTHHS, Fort Hamilton, Fort Hamilton HS",1600
James Madison HS,"jmhsbklyn, jmhsmbb, studentgov_jmhs, athletics_jmhs, jmhs_mentors, jmhs.badminton","jmhs, mhs, james mdhs",1255
Leon M. Goldstein HS,"lmghs, goldsteinkeyclub, lmghss.2027, lmghs2026, lmghs.2028, lmghs_nhs","lmghs, lmg",333
Midwood HS,"midwoodhsunicef. midwooddebateteam, mhsasianfest, midwoodphsclub, midwoodaerspace","Midwood, midwood, mhs, MHS",1302
Poly Prep Country Day School,"polyprep, polypreparts, polybluedevils, polyprepbase, polystudentgovernment, themorningdevil","poly prep, poly",383
Saint Ann's School,"sasvarsitysoccer, saint_annas_computer_center, sasblackstudentunion, sasboysjvsoccer","Saint Ann's , sas, SAS, saint ann's, saint anns",548
Xaverian HS,"xaverian_volleyball, xaverianvarsitytennis, xhsgsoccer, xaverianhsbaseball, xaverianxctf, xaveriangirlsvaristyswim","xhs, xaverian",550
Harry S Truman HS,"truman.hs, trumanhsbxathletics, trumanbaseballnyc, truman_hs_bb, trumanmustangwrestling, trumanbasketball","hst, hsths",552
La Cañada HS,"lacanadahighschool, lchscollegeandcareer, la_canada_marching_band, lacanadaathletics, thespartannews, lchsasb","lchs, lc",
Troy HS,"troyhighasb, troywarriors, troyhsfbla, troywarriorsathletics, troynjrotc, troyhighmusicprogram","ths, troy",
Orange County School of the Arts (OCSA),"weareocsa, ocsaballroom, ocsapopularmusic, ocsacmd, ocsa_cah, ocsamt","ocsa, orange county school of the arts",751
Redondo Union HS,"sammyseahawk, redondoathletics, ruhs_asb, ruhsfootball, ruhshoops, ruhscheer",ruhs,991
South Pasadena Senior HS,,,
Irvine HS,,,
Portola HS,,,
Diamond Bar HS,"dbhstheater, dbhsorg, fbla.dbhs, dbhs_events, diamondbarusb, dbhsmusic
","dbhs, db",844
Cerritos HS,"cerritosmao, cerritos_lowbrass, cerritosmsu, cerritostennis, cerritohs_athletics, cerritohs.bec ","chs, CHS, Cerritos, cerritos",694
La Quinta HS,,,770
Northwood HS,"northwoodhs, northwood.msa, nhs.marching, northwoodhsgolf, nhs_collegencareer, northwoodswimanddive","NHS, nhs, Northwood, northwood",
Sunny Hills HS,"sunnyhillstfxc, sunnyhillsathletics, sunnyhillscolorguard, sunnyhillspercussion, shhs_epic_engineering","shhs, SHHS, Sunny Hills, sunny hills",
Glen A. Wilson HS,,,
Woodbridge HS,"woodbridge_hs, woodbridge_ptsa, woodbridge_warriors, woodbridge_ice_hockey, whstrack_, warriors_whs","whs, WHS, woodbridge, Woodbridge",650
Arnold O. Beckman HS,,,
Fountain Valley HS,"fvhs_athletics, fvhsfca, fvhssurf, fvhs.crosscountry, fountainvalleycolorguard","fvhs, FVHS, Fountain Valley, fountain valley",1043
Santa Monica HS,"samohi.surfteam, samoclass27, samoclass26","samo, Samo, Santa Monica, santa monica, samohi, smhs, Smhs",857
El Segundo HS,,,
West Ranch HS,,,
Walnut HS,"walnuthigh_asb, walnut_mustangs, whsbluethunderband, whs.mustangathletics, walnutfbla, walnutfootball","whs, walnut",713
Crescenta Valley HS,,,
Mark Keppel HS,,,
Valencia HS,,,
Gabrielino HS,"gabrielino_peer_helping, gabrielinobaseball, gab_hs_music, gabrielino_baseball, gemr_brass, ghs.crochet.club","ghs, Ghs, ",494
Mira Costa HS,"mchsdramatechdepartment, mchs.girlsgolf, mchsbands, miracosta_girlsflag, costaboyswp","mchs, Mchs, MCHS",830
Monta Vista HS,"montavistawaterpolo, mvhstunt, montavistaptca, mvhs28, mvphyseng","mvhs, MVHS, Mvhs",
Walter Payton College Preparatory HS,,,
Northside College Preparatory HS,,,
Whitney M. Young Magnet HS,,,
Jones College Prep HS,,,
Adlai E Stevenson HS,,,
Hinsdale Central HS,,,
Vernon Hills HS,,,
Neuqua Valley HS,,,
New Trier Township HS,newtrierhs_santa,"NT, NTHS",
William Fremd HS,fremdhs_santa,"wfhs, ",
John Hersey HS,,,
Lake Forest HS,,,
Deerfield HS,,,
Glenbrook North HS,,,
Libertyville HS,,,
Naperville Central HS,,,
Barrington HS,,,
Maine South HS,,,
Munster HS,,,
Prospect HS,,,
Naperville North HS,,,
Glenbard West HS,,,
Highland Park HS,,,
Metea Valley HS,,,
Oak Park and River Forest HS,,,
Phillips Academy Andover,,,
Phillips Exeter Academy,"phillipsexeter, phillipsexeterdance, phillipsacademy, exetergirlslacrosse, exeterfieldhockey, pea_lib","pea, Exeter, PEA",368
Harvard-Westlake School,"hwgirslwaterpolo, hw_surfclub, hwfanatics, hwfieldhockey, hwspirit, hwbaseball","Harvard-Westlake , harvard-westlake, HW, hw, westlake",540
The Pingry School,"pg_waterpolo, __pg.xc__, pingry_summer, pingry_outing_club, pingryschoolhonorboard, pingryjournalclub","Pingry, pingry, tps",400
St. John's School,,,
Rye Country Day School,"ryecountryday, ryecountrydayschool, rcdsfilmclub, rcdsprom2025, rye_country_day_mun, rcdsathletics","RCDS, rcds, Rye Country Day School, Rye Country",300
Horace Mann School,"horace_mann_trojans, hmalumni, hmcstigers6, horacemannschoolnyc, horacemanncoco, horacemannlions","Horace Mann, horace mann, hm, HM",592
Trinity School,"trinityschoolnyc, voice_of_trinity, trinityschoolcollegeoffice","trinity, Trinity, nyc, ts",333
Sidwell Friends School,"sidwellfriends, sidwell_tf, sidwellsummer, sidwellfriendslibrary, sfsquackers","Sidwell, Sfs, sidwell",380
The John Cooper School,"cooper_dupuis21, thejohncooperschoolclumni, jcdragonxc, jcs_boysbball, cooper_varsity_boys_soccer, jcs.finearts, andres_valenzuelav","jcs, JCS, Jcs, cooper",459
Berkeley Preparatory School,"bpsredcrossclub, berkxctf, bps_rowing, alessandraverfailie, bps_varcity_soccer, berkelyprepalumni, bpsspiritualife","Bps, bps, BPS, berkeley",476
The Hockaday School,"annabellagriggs, hockadayhypewomen, thehockadayschool, hockadayathletics, hockascience, hockadaysocialimpact","hday, Hockaday, ths",363
Bellarmine College Prep,"bcplacrosse, bcp.polevault, bellarmine_ccc, bcprugby, bcp.redcrossclub, thebellarminebellarman","BPS, bps, bellarmine",555
Lynbrook HS,,,
Lowell HS,"lowell_bsu, lowelltech, lhsfilam, lowellhsbsu, thelowell, lowellhistoryclub, lhslatinclub","lhs, LHS, Lowell",846
Sierra Canyon School,,,
Choate Rosemarry Hall,,,
Shree Saraswathi Vidhya Mandheer,,,
Lambert High School,,LHS,